"Block"	"Trial"	"FaceFilename"	"WordFilename"	"FaceRace"	"Fix"	"WordValence"	"Condition"	"RT"	"Key"	"Error"	"Subno"	"Congruent"
2	151	"C:\Hannah's FYP\White17_neu.jpg"	"success"	"White"	"nose"	"Pos"	232	611	2	0	1	"Con"
2	152	"C:\Hannah's FYP\White23_neu.jpg"	"poison"	"White"	"nose"	"Neg"	231	592	1	0	1	"Incon"
2	153	"C:\Hannah's FYP\Black8_neu.jpg"	"beauty"	"Black"	"forehead"	"Pos"	112	607	2	0	1	"Incon"
2	154	"C:\Hannah's FYP\White7_neu.jpg"	"vacation"	"White"	"forehead"	"Pos"	212	703	2	0	1	"Con"
2	155	"C:\Hannah's FYP\Black3_neu.jpg"	"love"	"Black"	"forehead"	"Pos"	112	674	2	0	1	"Incon"
2	156	"C:\Hannah's FYP\Black21_neu.jpg"	"success"	"Black"	"nose"	"Pos"	132	644	2	0	1	"Incon"
2	157	"C:\Hannah's FYP\White22_neu.jpg"	"pest"	"White"	"nose"	"Neg"	231	907	1	0	1	"Incon"
2	158	"C:\Hannah's FYP\White20_neu.jpg"	"joy"	"White"	"nose"	"Pos"	232	1203	2	0	1	"Con"
2	159	"C:\Hannah's FYP\Black1_neu.jpg"	"vomit"	"Black"	"forehead"	"Neg"	111	1169	1	0	1	"Con"
2	160	"C:\Hannah's FYP\Black10_neu.jpg"	"pest"	"Black"	"eyes"	"Neg"	121	641	1	0	1	"Con"
2	161	"C:\Hannah's FYP\Black13_neu.jpg"	"disgust"	"Black"	"eyes"	"Neg"	121	960	1	0	1	"Con"
2	162	"C:\Hannah's FYP\Black4_neu.jpg"	"joy"	"Black"	"forehead"	"Pos"	112	889	2	0	1	"Incon"
2	163	"C:\Hannah's FYP\White21_neu.jpg"	"joy"	"White"	"nose"	"Pos"	232	570	2	0	1	"Con"
2	164	"C:\Hannah's FYP\Black16_neu.jpg"	"pest"	"Black"	"eyes"	"Neg"	121	644	1	0	1	"Con"
2	165	"C:\Hannah's FYP\White23_neu.jpg"	"despair"	"White"	"nose"	"Neg"	231	862	1	0	1	"Incon"
2	166	"C:\Hannah's FYP\White1_neu.jpg"	"pest"	"White"	"forehead"	"Neg"	211	652	1	0	1	"Incon"
2	167	"C:\Hannah's FYP\Black19_neu.jpg"	"garbage"	"Black"	"nose"	"Neg"	131	1746	1	0	1	"Con"
2	168	"C:\Hannah's FYP\Black8_neu.jpg"	"romance"	"Black"	"forehead"	"Pos"	112	1463	2	0	1	"Incon"
2	169	"C:\Hannah's FYP\White12_neu.jpg"	"vomit"	"White"	"eyes"	"Neg"	221	723	1	0	1	"Incon"
