"Block"	"Trial"	"FaceFilename"	"WordFilename"	"Race"	"Fix"	"WordValence"	"Familiar"	"Condition"	"RT"	"Key"	"Error"	"Subnum"	"Congruent"
2	44	"C:\Hannah's FYP\Black12_neu.jpg"	"disgust"	1	"eyes"	1	NA	121	477	1	0	26	1
2	45	"C:\Hannah's FYP\White10_neu.jpg"	"beauty"	2	"eyes"	2	NA	222	492	2	0	26	1
2	46	"C:\Hannah's FYP\White11_neu.jpg"	"joy"	2	"eyes"	2	NA	222	521	2	0	26	1
2	47	"C:\Hannah's FYP\White4_neu.jpg"	"poison"	2	"forehead"	1	NA	211	645	1	0	26	2
2	48	"C:\Hannah's FYP\White19_neu.jpg"	"vacation"	2	"nose"	2	NA	232	578	2	0	26	1
2	49	"C:\Hannah's FYP\Black16_neu.jpg"	"smile"	1	"eyes"	2	NA	122	459	2	0	26	2
2	50	"C:\Hannah's FYP\White14_neu.jpg"	"smile"	2	"eyes"	2	NA	222	414	2	0	26	1
2	51	"C:\Hannah's FYP\Black21_neu.jpg"	"smile"	1	"nose"	2	NA	132	524	2	0	26	2
2	52	"C:\Hannah's FYP\White4_neu.jpg"	"disgust"	2	"forehead"	1	NA	211	536	1	0	26	2
2	53	"C:\Hannah's FYP\Black4_neu.jpg"	"despair"	1	"forehead"	1	NA	111	691	1	0	26	1
2	54	"C:\Hannah's FYP\Black3_neu.jpg"	"joy"	1	"forehead"	2	NA	112	518	2	0	26	2
2	55	"C:\Hannah's FYP\White5_neu.jpg"	"love"	2	"forehead"	2	NA	212	450	2	0	26	1
2	56	"C:\Hannah's FYP\White3_neu.jpg"	"paradise"	2	"forehead"	2	NA	212	553	2	0	26	1
2	57	"C:\Hannah's FYP\Black10_neu.jpg"	"despair"	1	"eyes"	1	NA	121	867	1	0	26	1
2	58	"C:\Hannah's FYP\Black3_neu.jpg"	"smile"	1	"forehead"	2	NA	112	616	2	0	26	2
2	59	"C:\Hannah's FYP\White7_neu.jpg"	"poison"	2	"forehead"	1	NA	211	520	1	0	26	2
2	60	"C:\Hannah's FYP\Black2_neu.jpg"	"poison"	1	"forehead"	1	NA	111	596	1	0	26	1
2	61	"C:\Hannah's FYP\Black11_neu.jpg"	"beauty"	1	"eyes"	2	NA	122	485	2	0	26	2
2	62	"C:\Hannah's FYP\Black9_neu.jpg"	"smile"	1	"eyes"	2	NA	122	450	2	0	26	2
2	63	"C:\Hannah's FYP\Black6_neu.jpg"	"pest"	1	"forehead"	1	NA	111	585	1	0	26	1
2	64	"C:\Hannah's FYP\White23_neu.jpg"	"garbage"	2	"nose"	1	NA	231	606	1	0	26	2
2	65	"C:\Hannah's FYP\Black8_neu.jpg"	"disgust"	1	"forehead"	1	NA	111	540	1	0	26	1
2	66	"C:\Hannah's FYP\Black22_neu.jpg"	"love"	1	"nose"	2	NA	132	516	2	0	26	2
2	67	"C:\Hannah's FYP\Black10_neu.jpg"	"sewage"	1	"eyes"	1	NA	121	625	1	0	26	1
2	68	"C:\Hannah's FYP\White19_neu.jpg"	"beauty"	2	"nose"	2	NA	232	470	2	0	26	1
2	69	"C:\Hannah's FYP\White24_neu.jpg"	"cockroach"	2	"nose"	1	NA	231	668	1	0	26	2
2	70	"C:\Hannah's FYP\Black13_neu.jpg"	"paradise"	1	"eyes"	2	NA	122	489	2	0	26	2
2	71	"C:\Hannah's FYP\Black6_neu.jpg"	"romance"	1	"forehead"	2	NA	112	710	2	0	26	2
2	72	"C:\Hannah's FYP\White12_neu.jpg"	"paradise"	2	"eyes"	2	NA	222	506	2	0	26	1
2	73	"C:\Hannah's FYP\Black2_neu.jpg"	"beauty"	1	"forehead"	2	NA	112	503	2	0	26	2
2	74	"C:\Hannah's FYP\White21_neu.jpg"	"disgust"	2	"nose"	1	NA	231	632	1	0	26	2
2	75	"C:\Hannah's FYP\Black17_neu.jpg"	"beauty"	1	"nose"	2	NA	132	446	2	0	26	2
2	76	"C:\Hannah's FYP\White12_neu.jpg"	"romance"	2	"eyes"	2	NA	222	453	2	0	26	1
2	77	"C:\Hannah's FYP\White14_neu.jpg"	"pest"	2	"eyes"	1	NA	221	544	1	0	26	2
2	78	"C:\Hannah's FYP\Black1_neu.jpg"	"love"	1	"forehead"	2	NA	112	1019	2	0	26	2
2	79	"C:\Hannah's FYP\White16_neu.jpg"	"cockroach"	2	"eyes"	1	NA	221	474	1	0	26	2
2	80	"C:\Hannah's FYP\Black5_neu.jpg"	"beauty"	1	"forehead"	2	NA	112	376	2	0	26	2
2	81	"C:\Hannah's FYP\White15_neu.jpg"	"love"	2	"eyes"	2	NA	222	554	2	0	26	1
2	82	"C:\Hannah's FYP\Black24_neu.jpg"	"sewage"	1	"nose"	1	NA	131	514	1	0	26	1
2	83	"C:\Hannah's FYP\White22_neu.jpg"	"pest"	2	"nose"	1	NA	231	591	1	0	26	2
2	84	"C:\Hannah's FYP\White5_neu.jpg"	"beauty"	2	"forehead"	2	NA	212	431	2	0	26	1
2	85	"C:\Hannah's FYP\Black9_neu.jpg"	"pest"	1	"eyes"	1	NA	121	536	1	0	26	1
2	86	"C:\Hannah's FYP\Black23_neu.jpg"	"beauty"	1	"nose"	2	NA	132	416	2	0	26	2
2	87	"C:\Hannah's FYP\Black9_neu.jpg"	"love"	1	"eyes"	2	NA	122	385	2	0	26	2
2	88	"C:\Hannah's FYP\Black6_neu.jpg"	"success"	1	"forehead"	2	NA	112	467	2	0	26	2
2	89	"C:\Hannah's FYP\Black20_neu.jpg"	"romance"	1	"nose"	2	NA	132	916	2	0	26	2
2	90	"C:\Hannah's FYP\White23_neu.jpg"	"sewage"	2	"nose"	1	NA	231	396	1	0	26	2
2	91	"C:\Hannah's FYP\Black8_neu.jpg"	"smile"	1	"forehead"	2	NA	112	459	2	0	26	2
